Lesson7,8,9,10
心臓の鼓動,heartbeat
舞台負け(2語),stage fright
に影響を及ぼす…,affect
スーパースター,superstar
怖がって,scared
死ぬほど(2語),to death
を克服する(2語)…,get over
を経験する(2語)…,go through
別の例を挙げれば(4語),to give another example
から引退する(2語)…,retire from
に直面している(3語)…,be faced with
を取り除く…,remove
演奏者、役者,performer
運動選手,athlete
に対処する(2語)…,cope with
メジャーリーガー(2語),major leaguer
バッターボックス(2語),batter's box
気持ちを落ち着ける,calm down
に集中する(2語)…,concentrate on
を思いつく(3語)…,come up with
と仲良くなる(3語)…,get along with
が無くなる、不足する(3語)…,run out of
を振り返る(3語)…,look back on
に移る(3語)…,move on to
顔のない、個性を欠いた,faceless
調査,syrvey
英国放送協会,BBC
有益な,positive
一部分は,partly
大衆文化(2語),popular culture
異例な,unusual
物語の筋,storyline
うまく書かれた,well-written
魅力的な,attractive
アニメ,anime
することを熱望する(3語)…,be eager to
(目的や好み)に合う,suit
もとは,originally
版…,version
クリケット,cricket
を促進する…,promote
に打ち勝つ…,overcome
信頼,trust
を尊敬する(3語)…,look up to
を見下す、軽蔑する(3語)…,look down on
を償う、埋め合わせる(3語)…,make up on
を廃止する(3語)…,do away with
を考え直してやめる(3語)…,think better of
休暇を取る(3語),take a break
に従事する(2語)…,engage in
結合,combination
授業料,fee
学問の,academic
について好奇心が強い(3語)…,be curious about
グアテマラ,Guatemala
内戦,civil war
インスタントの,instant
質の良い,high-quality
豆,bean
の余裕がある(2語)…,can afford
一番年上の,eldest
うらやましそうな,envious
視野の広い見方,perspective
の悪口を言う(3語)…,speak ill of
に気を付ける(3語)…,watch out for
に…を痛感させる(3語)…,bring home to
危うく…しそうになる(3語),come close to
を頼る(3語)…,fall back on
を掲げる(2語)…,put up
看板,signboard
ポルトガル語,Portuguese
日系ブラジル人,Japanese Brazilian
県,prefecture
移民,immigrant
例外,exception
あいにく,unfortunately
経済不況,economic depression
永久に,permanently
問題点,issue
退学する(2語),drop out
犯罪を犯す(3語),commit a crime
のちに(2語),later on
を追って(3語)…,in pursuit of
をからかう(4語)…,make a fool of
くつろぐ(4語),make oneself at home
と関係がある(5語)…,have something to do with
と関係がない(5語)…,have nothing to do with
を利用する(3語)…,take advantage of
に頼みごとをする(4語)…,ask a favor of
