英語に訳しなさい
文学,literature
カナダの、カナダ人の,Canadian
経済の,economic
泡,bubble
気持ちの良い,comfortable
ものすごく,tremendously
集会,gathering
翻訳者,translator
に参加する…,participate
を言い表す…,describe
流行,boom
当時(3語),in those days
を夢見る(2語)…,dream of
全く…でない(3語),not at all
その結果(3語),as a result
のような気がする(2語)…,feel like
追跡,chase
をがっかりさせる…,disappoint
不思議の国,wonderland
(苦労して)進む,plow
恋愛関係,romance
を連想させる…,suggest
名前のない,unnamed
感情的でない,unemotional
満足して,content
少量,bit
閉じ籠った人,shut-in
孤独,solitude
殻,shell
意味のある,meaningful
関係,relationship
苦労して(2語),plow through
その時(3語),at that time
でいっぱいの(3語)…,be fill with
一斉に(3語),all at once
見かけ上は(3語),on the surface
に満足して(4語)…,be content to do
言い換えれば(3語),in other words
親密さ,closeness
異国風の,exotic
結果として(2語),after all
種類,breed
何よりも(3語),most of all
物語作家,storytellor
流れ,stream
印象,image
忘れられない,unforgettable
を巻き上げる(2語)…,wind up
一角獣,unicorn
の達人(3語)…,a master of
会話,dialogue
でいっぱいの(3語)…,be filled with
言及,reference
それとわかる,recognizable
岸、海岸,shore
冷酷な,cruel
から逃げる(3語)…,run away from
に終わる(2語)…,end up
同時期に(4語),at the same time
いずれの…も…でない(2語),none of
国際化,globalization
テロ,terrorizm
不正行為,corruption
孤独,loneliness
するようになる(3語)…,come to do
を含めて…,including
扱う,deal
を扱う(2語)…,deal with
ひきつける,attract
多様性,variety
憑りつかれること,possetion
邪悪な,evil
宗教,religious
宗教団体,cult
旋律、調べ,tune
少し,slightly
熱心に,eagerly
