英語に訳しなさい
平均して(2語),on average
病気,illness
認知症,dementia
脳,brain
損傷,damage
性格,personality
を攻撃する…,attack
精神の,mental
薬,drug
を落ち着かせる…,calm
人中心の,person-centered
取り組み,approach
オランダ,Netherlands
職員,staff
よく訓練された,well-trained
を扱う…,treat
洗濯,laundry
高齢の,elderly
恩恵を受ける,benefit
について謝る(2語)…,apologize for
の点で異なる(2語)…,differ in
と似合う(2語)…,go with
を手放す(2語)…,part with
を参照する(2語)…,refer to
警句,phrase
金の,golden
場合,occasion
その後,afterward
を分かち合う…,share
感情,emotion
とりわけ,especially
見知らぬ人,stranger
を邪魔する…,disturb
怖い,scared
に慣れる(3語)…,get used to
礼儀正しい,polite
素性,background
ではなくて(2語)…,instead of
の結果になる(2語)…,result in
に反対する(2語)…,speak against
に決める(2語)…,decide on
について合意する(2語)…,agree on
の世話をする(2語)…,look after
世界標準化,globalization
チェーン(店),chain
あらゆるところで,everywhere
平均的な,average
伝統的な,traditional
銘柄,brand
部族,tribe
を拒む…,refuse
文明,civilization
熱帯雨林,rainforest
狩りをする,hunt
弓,bow
矢,arrow
自給自足の,self-sufficient
金属,metal
を交換する…,exchange
品物,goods
を孤立させる…,isolate
辺境の,remote
と接触する、出会う(4語)…,come into contact with
先住民の,native
種族、民族,people
生活様式,lifestyle
環境の,environmental
避けられない,inevitable
に申し込む(2語)…,apply for
に(偶然)出会う(2語)…,come across
を自慢する(2語)…,boast of
(日付が)…に当たる(2語),fall on
に成功する(2語)…,succeed in
出生率,birthrate
世帯,household
を維持する…,maintain
急激に,sharply
一般的に,generally
経済的な,economic
水準,standard
に…することを強いる…,force
保育,childcare
(サービスの)提供者,provider
と推定する…,estimate
金銭的な,financial
援助,aid
ニジェール,Niger
3倍の,triple
乳児死亡率(3語),infant death rate
不足,shortage
限られた,limited
入手の手段,access
死亡率(2語),mortality rate
環境、状況,condition
今度は(2語),in turn
無事に,safely
予備の,extra
(言葉を)調べる(2語),look up
を選ぶ(2語)…,pick out
を理解する(2語)…,figure out
を提出する(2語)…,hand in
を見せびらかす(2語)…,show off
鳩,pigeon
ギリシャ,Greece
オリンピック,Olympic
将軍,general
を届ける…,deliver
戦闘,battle
航空郵便サービス(2語),airmail service
医学用試料(2語),medical sample
検査をすること,testing
江戸時代(3語),the Edo period
関東大震災(4語),the Great Kanto Earthquake
遠く離れた,remote
大規模に,extensively
戦時に(2語),in war
平時に(2語),in peace
祖先,ancestor
を続ける(2語)…,carry on
を解決する(2語)…,work out
を試着する(2語)…,try on
(嘘、作り話を)でっちあげる(2語),make up
を騙す(2語)…,take in
マンション,apartment
(都市の)中心部の,downtown
利益、恩恵,benefit
遊戯室,playroom
運動施設(2語),fitness facility
待合室,lounge
高い部分の,upper
土地、空間,room
人口密度(2語),population density
を遮る(2語)…,block out
大事なことが最後になったが(4語),last but not least
住民,resident
の場合には(3語)…,in case of
梯子,ladder
消防車(2語),fire truck
を手渡す(2語)…,hand over
をもたらす(2語)…,bring about
をがっかりさせる(2語)…,let down
に記入する(2語)…,fill out
を記入する(2語)…,put down
