英語に訳しなさい
平均して(2語),on average
病気,illness
認知症,dementia
脳,brain
損傷,damage
性格,personality
を攻撃する…,attack
精神の,mental
薬,drug
を落ち着かせる…,calm
人中心の,person-centered
取り組み,approach
オランダ,Netherlands
職員,staff
よく訓練された,well-trained
を扱う…,treat
洗濯,laundry
高齢の,elderly
恩恵を受ける,benefit
について謝る(2語)…,apologize for
の点で異なる(2語)…,differ in
と似合う(2語)…,go with
を手放す(2語)…,part with
を参照する(2語)…,refer to
警句,phrase
金の,golden
場合,occasion
その後,afterward
を分かち合う…,share
感情,emotion
とりわけ,especially
見知らぬ人,stranger
を邪魔する…,disturb
怖い,scared
に慣れる(3語)…,get used to
礼儀正しい,polite
素性,background
ではなくて(2語)…,instead of
の結果になる(2語)…,result in
に反対する(2語)…,speak against
に決める(2語)…,decide on
について合意する(2語)…,agree on
の世話をする(2語)…,look after
世界標準化,globalization
チェーン(店),chain
あらゆるところで,everywhere
平均的な,average
伝統的な,traditional
銘柄,brand
部族,tribe
を拒む…,refuse
文明,civilization
熱帯雨林,rainforest
狩りをする,hunt
弓,bow
矢,arrow
自給自足の,self-sufficient
金属,metal
を交換する…,exchange
品物,goods
を孤立させる…,isolate
辺境の,remote
と接触する、出会う(4語)…,come into contact with
先住民の,native
種族、民族,people
生活様式,lifestyle
環境の,environmental
避けられない,inevitable
に申し込む(2語)…,apply for
に(偶然)出会う(2語)…,come across
を自慢する(2語)…,boast of
(日付が)…に当たる(2語),fall on
に成功する(2語)…,succeed in
