英語に訳しなさい
日光,sunshine
垂直な,vertical
成長,growth
10億,billion
国際連合(3語),the United Nations
と推定する…,estimate
最高値に達する(3語),top out at
(食べ物を)与える,feed
使われて(2語),in use
農地,farmland
を…に変える(2語)…,turn into
エーカー,acre
不足,lack
が…することを可能にする…,enable
効果的な,effective
その代わりに,instead
の代わりに(2語)…,instead of
取り組み,approach
穀物,grain
を浄化する…,purify
廃水,wastewater
ハイテクの,high-teck
屋内の,indoor
の間に(4語)…,in the course of
だけでなく…も(3語)…,as well as
に達する(2語)…,amount to
屋外の,outdoor
ハリケーン,hurricane
水耕式の,hydroponic
棚,shelf
以前…だった(3語),what used to
水耕,hydroponics
水耕栽培の,aeroponics
基本的に,basically
も…も…しない(2語)…,neither nor
土,soil
欲するままに(2語),at will
驚くほど,marvelously
を移す…,shift
都市の,urban
の場所を突き止める…,locate
を冷やす…,refrigerate
を判断する…,judge
から判断すると(2語)…,judging from
利益,benefit
反対者,critic
議論する,argue
機械装置,machinery
収穫期,harvest
専門家,specialist
と考える…,figure
農業の,agricultural
標準の,normal
実施,imprementation
解決策,solution
かどうか…,whether
生態学的に,ecologically
責任がある,responsible
を再評価する…,reassess
持続可能な,sustainable
